raw_alias,canonical_id,entity_type
"5.12B","TX-TEKS-SCI-05-12B","STANDARD"
"Sci 5.12B","TX-TEKS-SCI-05-12B","STANDARD"
"Science 5.12(B)","TX-TEKS-SCI-05-12B","STANDARD"
"TEKS-SCI-5.12.B","TX-TEKS-SCI-05-12B","STANDARD"
"5.4H","TX-TEKS-MATH-05-04H","STANDARD"
"Math 5.4H","TX-TEKS-MATH-05-04H","STANDARD"
"Mathematics 5.4(H)","TX-TEKS-MATH-05-04H","STANDARD"
"8.10B","TX-TEKS-SCI-08-10B","STANDARD"
"Sci 8.10B","TX-TEKS-SCI-08-10B","STANDARD"
"Science 8.10(B)","TX-TEKS-SCI-08-10B","STANDARD"
"8.7B","TX-TEKS-MATH-08-07B","STANDARD"
"Math 8.7B","TX-TEKS-MATH-08-07B","STANDARD"
"Bio 12B","TX-TEKS-BIO-12B","STANDARD"
"Biology 12(B)","TX-TEKS-BIO-12B","STANDARD"
"ELAR 5.11A","TX-TEKS-ELAR-05-11A","STANDARD"
"Art 5.1B","TX-TEKS-ART-05-01B","STANDARD"
"Health 5.3A","TX-TEKS-HLTH-05-03A","STANDARD"
"Donna ISD","DIS-DONNA-ISD","DISTRICT"
"Donna Independent School District","DIS-DONNA-ISD","DISTRICT"
"Mercedes ISD","DIS-MERCEDES-ISD","DISTRICT"
"Mercedes Independent School District","DIS-MERCEDES-ISD","DISTRICT"
"PSJA ISD","DIS-PSJA-ISD","DISTRICT"
"Pharr-San Juan-Alamo ISD","DIS-PSJA-ISD","DISTRICT"
"McAllen ISD","DIS-MCALLEN-ISD","DISTRICT"
"Harlingen CISD","DIS-HARLINGEN-CISD","DISTRICT"
"Honey Mesquite","SPECIES-PROSOPIS-GLANDULOSA","PHENOMENON"
"Mezquite Dulce","SPECIES-PROSOPIS-GLANDULOSA","PHENOMENON"
"Texas Ebony","SPECIES-EBENOPSIS-EBANO","PHENOMENON"
"Ebano","SPECIES-EBENOPSIS-EBANO","PHENOMENON"
"Anacahuita","SPECIES-CORDIA-BOISSIERI","PHENOMENON"
"Mexican Olive","SPECIES-CORDIA-BOISSIERI","PHENOMENON"
"Komorebi","PHENO-KOMOREBI-SHADING","PHENOMENON"
"Dappled Shade","PHENO-KOMOREBI-SHADING","PHENOMENON"
"Sombra Moteada","PHENO-KOMOREBI-SHADING","PHENOMENON"
"Science 1.12B","TX-TEKS-SCI-01-12B","STANDARD"
"Science 1.12(B)","TX-TEKS-SCI-01-12B","STANDARD"
"Science 1.12A","TX-TEKS-SCI-01-12A","STANDARD"
"Science 1.12(A)","TX-TEKS-SCI-01-12A","STANDARD"
"Science 1.13A","TX-TEKS-SCI-01-13A","STANDARD"
"Science 1.13(A)","TX-TEKS-SCI-01-13A","STANDARD"
"Science 2.13A","TX-TEKS-SCI-02-13A","STANDARD"
"Science 2.13(A)","TX-TEKS-SCI-02-13A","STANDARD"
"Math 1.7D","TX-TEKS-MATH-01-07D","STANDARD"
"Math 1.8A","TX-TEKS-MATH-01-08A","STANDARD"
"Math 1.8B","TX-TEKS-MATH-01-08B","STANDARD"
"Math 1.7A","TX-TEKS-MATH-01-07A","STANDARD"
"ELAR 1.6E","TX-TEKS-ELAR-01-06E","STANDARD"
"ELAR 1.2B","TX-TEKS-ELAR-01-02B","STANDARD"
"ELAR 1.7C","TX-TEKS-ELAR-01-07C","STANDARD"
"ELAR 1.6B","TX-TEKS-ELAR-01-06B","STANDARD"
"Art 1.1B","TX-TEKS-ART-01-01B","STANDARD"
"Art 1.2B","TX-TEKS-ART-01-02B","STANDARD"
"Art 1.2C","TX-TEKS-ART-01-02C","STANDARD"
"Health 1.3A","TX-TEKS-HLTH-01-03A","STANDARD"
"Social Studies 1.5A","TX-TEKS-SOC-01-05A","STANDARD"
